device_id,start,end,age,gender,content_id
3,2016-01-01T00:04:00,2016-01-01T00:04:08,22,female,96
3,2016-01-01T00:04:00,2016-01-01T00:04:10,73,female,96
3,2016-01-01T00:04:00,2016-01-01T00:04:21,56,female,96
3,2016-01-01T00:04:00,2016-01-01T00:04:21,23,female,96
3,2016-01-01T00:04:18,2016-01-01T00:04:21,40,male,96
3,2016-01-01T00:04:00,2016-01-01T00:04:21,18,female,96
3,2016-01-01T00:04:00,2016-01-01T00:04:21,57,male,96
3,2016-01-01T00:04:18,2016-01-01T00:04:21,89,male,96
2,2016-01-01T00:14:02,2016-01-01T00:14:03,52,male,96
2,2016-01-01T00:14:02,2016-01-01T00:14:13,28,female,96
2,2016-01-01T00:14:02,2016-01-01T00:14:20,23,male,96
2,2016-01-01T00:14:02,2016-01-01T00:14:23,93,female,96
2,2016-01-01T00:14:02,2016-01-01T00:14:23,89,female,96
2,2016-01-01T00:14:05,2016-01-01T00:14:23,37,female,96
2,2016-01-01T00:14:02,2016-01-01T00:14:23,76,male,96
2,2016-01-01T00:14:02,2016-01-01T00:14:23,98,male,96
2,2016-01-01T00:14:03,2016-01-01T00:14:23,56,female,96
2,2016-01-01T00:14:11,2016-01-01T00:14:23,49,female,96
2,2016-01-01T00:14:02,2016-01-01T00:14:23,51,female,96
2,2016-01-01T00:14:14,2016-01-01T00:14:23,76,male,96
2,2016-01-01T00:14:02,2016-01-01T00:14:23,91,female,96
2,2016-01-01T00:14:19,2016-01-01T00:14:23,35,female,96
1,2016-01-01T00:54:04,2016-01-01T00:54:14,4,male,96
1,2016-01-01T00:53:53,2016-01-01T00:54:14,14,male,96
1,2016-01-01T00:53:53,2016-01-01T00:54:14,44,female,96
1,2016-01-01T00:54:07,2016-01-01T00:54:14,14,male,96
1,2016-01-01T01:26:22,2016-01-01T01:26:23,55,female,96
1,2016-01-01T01:26:22,2016-01-01T01:26:43,77,male,96
1,2016-01-01T01:26:38,2016-01-01T01:26:43,60,female,96
1,2016-01-01T01:26:41,2016-01-01T01:26:43,86,male,96
1,2016-01-01T01:26:31,2016-01-01T01:26:43,34,female,96
1,2016-01-01T01:34:49,2016-01-01T01:35:03,11,female,96
1,2016-01-01T01:34:49,2016-01-01T01:35:09,16,female,96
1,2016-01-01T01:34:49,2016-01-01T01:35:10,58,male,96
1,2016-01-01T01:34:49,2016-01-01T01:35:10,71,male,96
1,2016-01-01T01:34:49,2016-01-01T01:35:10,79,male,96
1,2016-01-01T01:34:49,2016-01-01T01:35:10,91,male,96
1,2016-01-01T01:34:49,2016-01-01T01:35:10,62,female,96
1,2016-01-01T01:45:32,2016-01-01T01:45:53,4,male,96
1,2016-01-01T01:45:32,2016-01-01T01:45:53,59,female,96
1,2016-01-01T01:45:37,2016-01-01T01:45:53,22,male,96
1,2016-01-01T01:45:38,2016-01-01T01:45:53,31,male,96
1,2016-01-01T01:45:32,2016-01-01T01:45:53,17,female,96
1,2016-01-01T01:45:32,2016-01-01T01:45:53,4,male,96
1,2016-01-01T02:28:21,2016-01-01T02:28:31,83,female,96
1,2016-01-01T02:28:21,2016-01-01T02:28:42,57,female,96
1,2016-01-01T02:28:23,2016-01-01T02:28:42,86,male,96
1,2016-01-01T02:28:21,2016-01-01T02:28:42,94,female,96
1,2016-01-01T02:28:21,2016-01-01T02:28:42,45,female,96
1,2016-01-01T02:28:37,2016-01-01T02:28:42,23,male,96
1,2016-01-01T02:39:44,2016-01-01T02:39:56,59,male,96
1,2016-01-01T02:39:35,2016-01-01T02:39:56,53,male,96
1,2016-01-01T02:39:35,2016-01-01T02:39:56,12,female,96
1,2016-01-01T02:39:42,2016-01-01T02:39:56,22,female,96
3,2016-01-01T03:00:46,2016-01-01T03:00:58,73,female,96
