device_id,start,end,age,gender,content_id
3,2016-01-01T00:19:02,2016-01-01T00:19:10,13,female,70
3,2016-01-01T00:19:02,2016-01-01T00:19:17,51,male,70
3,2016-01-01T00:19:02,2016-01-01T00:19:17,55,female,70
3,2016-01-01T00:19:02,2016-01-01T00:19:20,94,female,70
3,2016-01-01T00:19:02,2016-01-01T00:19:20,51,female,70
3,2016-01-01T00:19:08,2016-01-01T00:19:20,15,female,70
3,2016-01-01T00:19:02,2016-01-01T00:19:20,36,male,70
2,2016-01-01T00:59:15,2016-01-01T00:59:23,87,female,70
2,2016-01-01T00:59:11,2016-01-01T00:59:24,41,male,70
2,2016-01-01T00:59:11,2016-01-01T00:59:29,13,female,70
2,2016-01-01T00:59:11,2016-01-01T00:59:29,48,male,70
2,2016-01-01T01:12:39,2016-01-01T01:12:46,74,female,70
2,2016-01-01T01:12:39,2016-01-01T01:12:55,55,female,70
2,2016-01-01T01:12:39,2016-01-01T01:12:55,60,male,70
2,2016-01-01T01:12:39,2016-01-01T01:12:57,47,female,70
2,2016-01-01T01:12:49,2016-01-01T01:12:57,83,male,70
2,2016-01-01T01:25:54,2016-01-01T01:25:59,64,female,70
2,2016-01-01T01:25:54,2016-01-01T01:26:12,38,female,70
2,2016-01-01T01:25:54,2016-01-01T01:26:12,63,female,70
1,2016-01-01T01:35:34,2016-01-01T01:35:36,71,male,70
1,2016-01-01T01:35:34,2016-01-01T01:35:45,79,male,70
1,2016-01-01T01:35:34,2016-01-01T01:35:47,91,male,70
1,2016-01-01T01:35:34,2016-01-01T01:35:52,14,male,70
1,2016-01-01T01:35:34,2016-01-01T01:35:52,62,female,70
1,2016-01-01T01:35:49,2016-01-01T01:35:52,82,female,70
1,2016-01-01T01:35:44,2016-01-01T01:35:52,93,male,70
1,2016-01-01T01:35:44,2016-01-01T01:35:52,16,male,70
1,2016-01-01T01:35:36,2016-01-01T01:35:52,6,female,70
1,2016-01-01T01:35:40,2016-01-01T01:35:52,6,female,70
1,2016-01-01T01:35:52,2016-01-01T01:35:52,82,female,70
1,2016-01-01T01:35:34,2016-01-01T01:35:52,36,female,70
2,2016-01-01T01:45:56,2016-01-01T01:46:14,66,male,70
2,2016-01-01T01:46:08,2016-01-01T01:46:14,21,female,70
2,2016-01-01T01:45:56,2016-01-01T01:46:14,4,female,70
2,2016-01-01T01:45:56,2016-01-01T01:46:14,52,female,70
2,2016-01-01T02:00:36,2016-01-01T02:00:54,66,female,70
2,2016-01-01T02:00:36,2016-01-01T02:00:54,90,female,70
2,2016-01-01T02:00:36,2016-01-01T02:00:54,4,female,70
3,2016-01-01T02:23:32,2016-01-01T02:23:41,22,female,70
3,2016-01-01T02:23:33,2016-01-01T02:23:41,51,male,70
3,2016-01-01T02:23:32,2016-01-01T02:23:50,86,female,70
3,2016-01-01T02:23:32,2016-01-01T02:23:50,73,female,70
3,2016-01-01T02:23:32,2016-01-01T02:23:50,96,female,70
3,2016-01-01T02:23:32,2016-01-01T02:23:50,66,female,70
3,2016-01-01T02:23:43,2016-01-01T02:23:50,25,male,70
1,2016-01-01T02:42:41,2016-01-01T02:42:48,65,male,70
1,2016-01-01T02:42:41,2016-01-01T02:42:53,20,female,70
1,2016-01-01T02:42:41,2016-01-01T02:42:58,73,male,70
