device_id,start,end,age,gender,content_id
2,2016-01-01T00:04:57,2016-01-01T00:05:01,60,female,52
2,2016-01-01T00:04:44,2016-01-01T00:05:01,46,male,52
2,2016-01-01T00:04:44,2016-01-01T00:05:01,93,female,52
2,2016-01-01T00:04:44,2016-01-01T00:05:01,53,female,52
2,2016-01-01T00:04:58,2016-01-01T00:05:01,13,female,52
2,2016-01-01T00:04:44,2016-01-01T00:05:01,80,male,52
2,2016-01-01T00:21:57,2016-01-01T00:21:57,52,male,52
2,2016-01-01T00:21:57,2016-01-01T00:22:00,7,male,52
2,2016-01-01T00:21:57,2016-01-01T00:22:14,11,female,52
2,2016-01-01T00:21:57,2016-01-01T00:22:14,93,female,52
2,2016-01-01T00:21:57,2016-01-01T00:22:14,23,female,52
2,2016-01-01T00:22:14,2016-01-01T00:22:14,22,male,52
3,2016-01-01T00:27:22,2016-01-01T00:27:39,40,female,52
3,2016-01-01T00:27:22,2016-01-01T00:27:39,93,female,52
3,2016-01-01T00:27:22,2016-01-01T00:27:39,82,female,52
3,2016-01-01T00:27:22,2016-01-01T00:27:39,90,female,52
3,2016-01-01T00:27:26,2016-01-01T00:27:39,70,female,52
2,2016-01-01T00:49:23,2016-01-01T00:49:40,11,male,52
2,2016-01-01T00:49:39,2016-01-01T00:49:40,96,female,52
1,2016-01-01T01:40:45,2016-01-01T01:41:02,83,female,52
1,2016-01-01T01:40:45,2016-01-01T01:41:02,92,female,52
1,2016-01-01T01:40:45,2016-01-01T01:41:02,72,female,52
1,2016-01-01T01:59:42,2016-01-01T01:59:42,62,female,52
1,2016-01-01T01:59:42,2016-01-01T01:59:49,13,female,52
1,2016-01-01T01:59:42,2016-01-01T01:59:50,16,male,52
1,2016-01-01T01:59:42,2016-01-01T01:59:53,40,female,52
1,2016-01-01T01:59:42,2016-01-01T01:59:55,8,male,52
1,2016-01-01T01:59:42,2016-01-01T01:59:58,46,male,52
1,2016-01-01T01:59:42,2016-01-01T01:59:59,36,female,52
1,2016-01-01T01:59:42,2016-01-01T01:59:59,37,female,52
1,2016-01-01T02:07:02,2016-01-01T02:07:17,15,female,52
1,2016-01-01T02:07:02,2016-01-01T02:07:19,56,female,52
1,2016-01-01T02:07:02,2016-01-01T02:07:19,45,male,52
1,2016-01-01T02:07:02,2016-01-01T02:07:19,59,female,52
3,2016-01-01T03:38:35,2016-01-01T03:38:43,53,male,52
3,2016-01-01T03:38:36,2016-01-01T03:38:52,46,male,52
3,2016-01-01T03:38:35,2016-01-01T03:38:52,43,male,52
3,2016-01-01T03:38:45,2016-01-01T03:38:52,29,male,52
3,2016-01-01T03:38:41,2016-01-01T03:38:52,76,female,52
3,2016-01-01T03:38:46,2016-01-01T03:38:52,89,female,52
3,2016-01-01T03:38:35,2016-01-01T03:38:52,82,male,52
1,2016-01-01T03:49:29,2016-01-01T03:49:34,9,male,52
1,2016-01-01T03:49:29,2016-01-01T03:49:46,99,female,52
1,2016-01-01T03:49:29,2016-01-01T03:49:46,80,male,52
1,2016-01-01T03:49:29,2016-01-01T03:49:46,28,female,52
1,2016-01-01T03:49:29,2016-01-01T03:49:46,72,female,52
1,2016-01-01T03:49:29,2016-01-01T03:49:46,20,female,52
1,2016-01-01T03:49:29,2016-01-01T03:49:46,81,male,52
1,2016-01-01T03:49:29,2016-01-01T03:49:46,26,male,52
1,2016-01-01T03:49:29,2016-01-01T03:49:46,9,male,52
1,2016-01-01T03:49:29,2016-01-01T03:49:46,86,male,52
2,2016-01-01T03:57:09,2016-01-01T03:57:26,56,female,52
2,2016-01-01T03:57:09,2016-01-01T03:57:26,98,male,52
2,2016-01-01T03:57:09,2016-01-01T03:57:26,81,female,52
2,2016-01-01T03:57:09,2016-01-01T03:57:26,74,male,52
3,2016-01-01T04:14:40,2016-01-01T04:14:40,93,female,52
3,2016-01-01T04:14:40,2016-01-01T04:14:57,43,female,52
3,2016-01-01T04:14:45,2016-01-01T04:14:57,17,female,52
3,2016-01-01T04:14:40,2016-01-01T04:14:57,13,female,52
2,2016-01-01T04:25:26,2016-01-01T04:25:31,57,female,52
2,2016-01-01T04:25:26,2016-01-01T04:25:36,45,female,52
2,2016-01-01T04:25:26,2016-01-01T04:25:43,31,female,52
1,2016-01-01T04:25:40,2016-01-01T04:25:55,98,female,52
1,2016-01-01T04:25:43,2016-01-01T04:25:57,86,male,52
1,2016-01-01T04:25:40,2016-01-01T04:25:57,21,female,52
2,2016-01-01T04:25:26,2016-01-01T04:25:43,36,female,52
2,2016-01-01T04:25:26,2016-01-01T04:25:43,76,female,52
2,2016-01-01T04:25:26,2016-01-01T04:25:43,38,female,52
