content_id,device_id,start,end
27,2,2016-01-01T00:00:01,2016-01-01T00:00:34
33,2,2016-01-01T00:00:34,2016-01-01T00:01:04
19,2,2016-01-01T00:01:04,2016-01-01T00:01:49
32,2,2016-01-01T00:01:49,2016-01-01T00:02:05
2,2,2016-01-01T00:02:05,2016-01-01T00:02:39
34,2,2016-01-01T00:02:39,2016-01-01T00:03:15
5,2,2016-01-01T00:03:15,2016-01-01T00:03:33
60,2,2016-01-01T00:03:33,2016-01-01T00:03:56
86,2,2016-01-01T00:03:56,2016-01-01T00:04:22
47,2,2016-01-01T00:04:22,2016-01-01T00:04:44
52,2,2016-01-01T00:04:44,2016-01-01T00:05:01
48,2,2016-01-01T00:05:01,2016-01-01T00:05:32
59,2,2016-01-01T00:05:32,2016-01-01T00:06:00
43,2,2016-01-01T00:06:00,2016-01-01T00:06:29
42,2,2016-01-01T00:06:29,2016-01-01T00:07:04
7,2,2016-01-01T00:07:04,2016-01-01T00:07:32
68,2,2016-01-01T00:07:32,2016-01-01T00:08:01
4,2,2016-01-01T00:08:01,2016-01-01T00:08:40
5,2,2016-01-01T00:08:40,2016-01-01T00:08:58
25,2,2016-01-01T00:08:58,2016-01-01T00:09:40
76,2,2016-01-01T00:09:40,2016-01-01T00:10:20
8,2,2016-01-01T00:10:20,2016-01-01T00:10:53
18,2,2016-01-01T00:10:53,2016-01-01T00:11:26
71,2,2016-01-01T00:11:26,2016-01-01T00:11:41
83,2,2016-01-01T00:11:41,2016-01-01T00:12:13
79,2,2016-01-01T00:12:13,2016-01-01T00:12:37
27,2,2016-01-01T00:12:37,2016-01-01T00:13:10
40,2,2016-01-01T00:13:10,2016-01-01T00:13:47
64,2,2016-01-01T00:13:47,2016-01-01T00:14:02
96,2,2016-01-01T00:14:02,2016-01-01T00:14:23
8,2,2016-01-01T00:14:23,2016-01-01T00:14:56
21,2,2016-01-01T00:14:56,2016-01-01T00:15:17
54,2,2016-01-01T00:15:17,2016-01-01T00:15:53
75,2,2016-01-01T00:15:53,2016-01-01T00:16:16
6,2,2016-01-01T00:16:16,2016-01-01T00:16:35
93,2,2016-01-01T00:16:35,2016-01-01T00:16:51
51,2,2016-01-01T00:16:51,2016-01-01T00:17:33
24,2,2016-01-01T00:17:33,2016-01-01T00:18:12
30,2,2016-01-01T00:18:12,2016-01-01T00:18:44
75,2,2016-01-01T00:18:44,2016-01-01T00:19:07
14,2,2016-01-01T00:19:07,2016-01-01T00:19:32
